Block wise Ground Water Resources Data of Ahmednagar District (In ham) of 2020

Block/Mandal/Taluka,Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Irrigation Draft,Domestic and Industry Draft,Total Draft,Stage of Goundwater Development (%)
"Akola","8600.073","513.470","8086.603","5994.718","649.457","6644.190","82.163",
"Jamkhed","6523.400","326.170","6197.230","3591.055","286.890","3877.950","62.576",
"Karjat","12694.655","776.830","11917.825","7176.770","241.888","7418.664","62.248",
"Kopargaon","8170.476","487.417","7683.059","6723.320","469.848","7193.180","93.624",
"Nagar","12600.304","630.026","11970.278","7568.577","436.530","8005.092","66.875",
"Newasa","17406.682","870.354","16536.328","14122.093","448.120","14570.207","88.110",
"Parner","16934.698","863.151","16071.547","5915.962","709.423","6625.371","41.224",
"Pathardi","10866.656","653.908","10212.748","8619.382","478.964","9098.365","89.088",
"Rahuri","13451.878","672.604","12779.275","11776.673","393.308","12169.985","95.232",
"Rhata","8254.818","412.739","7842.079","8773.421","213.172","8986.599","114.595",
"Sangamner","14464.428","735.578","13728.850","12014.931","773.782","12788.702","93.152",
"Shevgaon","9094.801","501.634","8593.168","6955.589","403.778","7359.393","85.642",
"Shrigonda","12005.207","600.288","11404.919","8417.279","328.368","8745.625","76.683",
"Shrirampur","8257.813","412.891","7844.921","6938.581","363.209","7301.778","93.076",
