Block wise Ground Water Resources Data of Amravati District (In ham) of 2020

Block/Mandal/Taluka,Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Irrigation Draft,Domestic and Industry Draft,Total Draft,Stage of Goundwater Development (%)
"Dharni","3942.036","197.528","3744.508","1606.582","179.640","1786.239","47.703",
"Warud","11484.631","1124.247","10360.384","15718.847","358.206","16077.054","155.178",
"Bhatkuli","399.810","19.991","379.819","182.945","27.970","210.916","55.531",
"Chandur Bazar","6996.856","494.576","6502.281","8931.885","366.807","9298.705","143.007",
"Chikhaldara","3228.765","241.338","2987.427","1798.974","132.413","1931.408","64.651",
"Daryapur","0.000","0.000","0.000","0.000","0.000","0.000","0.000",
"Nandgaon","7751.463","387.902","7363.561","5362.656","616.108","5978.768","81.194",
"Achlapur","8448.306","792.560","7655.746","7249.112","429.006","7678.122","100.292",
"Amravati","7848.583","601.320","7247.263","5345.946","450.173","5796.138","79.977",
"Anjangaon Surji","5548.062","392.624","5155.437","3037.008","91.039","3128.067","60.675",
"Chandur Railway","5400.569","306.189","5094.380","2748.750","586.575","3335.333","65.471",
"Dhamangaon Railway","6300.545","466.581","5833.964","3958.914","485.955","4444.889","76.190",
"Morshi","9974.946","603.128","9371.818","9148.152","402.877","9551.034","101.912",
"Tiwsa","9175.964","493.884","8682.080","5793.707","228.027","6021.737","69.358",
