Block wise Ground Water Resources Data of Nagpur District (In ham) of 2020

Block/Mandal/Taluka,Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Irrigation Draft,Domestic and Industry Draft,Total Draft,Stage of Goundwater Development (%)
"Katol","8959.902","447.980","8511.922","5927.469","938.546","6866.023","80.664",
"Mouda","11144.343","557.226","10587.116","1914.408","1040.697","2955.106","27.912",
"Bhiwapur","4297.100","307.381","3989.719","1804.233","421.003","2225.239","55.774",
"Hingana","7980.270","399.009","7581.261","2725.488","858.133","3583.621","47.269",
"Kalameshwar","6574.201","414.121","6160.081","3630.768","469.619","4100.392","66.564",
"Kamtee","6490.630","336.194","6154.436","2090.532","711.206","2801.729","45.524",
"Kuhi","6872.323","343.614","6528.709","3120.240","677.390","3797.633","58.168",
"Nagpur","6137.158","327.844","5809.313","2056.189","751.089","2807.271","48.324",
"Narkhed","9727.216","502.289","9224.926","5408.866","868.057","6276.905","68.043",
"Parshioni","7794.100","494.627","7299.474","1874.024","802.428","2676.442","36.666",
"Ramtek","6273.903","316.992","5956.911","1420.727","886.980","2307.707","38.740",
"Saoner","5115.501","333.381","4782.120","2984.203","654.008","3638.180","76.079",
"Umred","9320.004","473.483","8846.521","2324.458","1064.326","3388.761","38.306",
