Block wise Ground Water Resources Data of Pune District (In ham) of 2020

Block/Mandal/Taluka,Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Irrigation Draft,Domestic and Industry Draft,Total Draft,Stage of Goundwater Development (%)
"Ambegaon","12746.732","639.041","12107.691","8536.528","452.277","8988.796","74.240",
"Baramati","22888.309","1204.999","21683.310","16426.905","486.267","16913.200","78.001",
"Bhor","4261.531","320.984","3940.548","1402.783","270.557","1673.347","42.465",
"Daund","17507.981","1141.322","16366.659","10985.362","472.749","11458.104","70.009",
"Haveli","13530.410","676.520","12853.891","6680.108","1097.244","7777.341","60.506",
"Indapur","30337.712","1568.023","28769.689","19047.573","1181.495","20229.072","70.314",
"Junnar","17320.458","902.578","16417.880","13183.584","567.656","13751.231","83.758",
"Khed","14465.922","723.280","13742.642","9496.629","1046.052","10542.673","76.715",
"Maval","9050.507","496.788","8553.719","1493.598","397.952","1891.545","22.114",
"Mulshi","7961.635","402.595","7559.039","841.488","728.773","1570.228","20.773",
"Purandhar","13559.798","846.756","12713.042","10511.414","343.010","10854.425","85.380",
"Shirur","15795.642","789.788","15005.855","13167.632","973.694","14141.295","94.239",
"Velhe","5027.610","286.170","4741.440","293.306","156.316","449.629","9.483",
