block,annual_recharge,natural_discharge,net_groundwater,irrigation_draft,domestic_draft,total_draft,groundwater_development_percent,district,year
8600.073,513.47,8086.603,5994.718,649.457,6644.19,82.163,,Ahmednagar,2020
6523.4,326.17,6197.23,3591.055,286.89,3877.95,62.576,,Ahmednagar,2020
12694.655,776.83,11917.825,7176.77,241.888,7418.664,62.248,,Ahmednagar,2020
8170.476,487.417,7683.059,6723.32,469.848,7193.18,93.624,,Ahmednagar,2020
12600.304,630.026,11970.278,7568.577,436.53,8005.092,66.875,,Ahmednagar,2020
17406.682,870.354,16536.328,14122.093,448.12,14570.207,88.11,,Ahmednagar,2020
16934.698,863.151,16071.547,5915.962,709.423,6625.371,41.224,,Ahmednagar,2020
10866.656,653.908,10212.748,8619.382,478.964,9098.365,89.088,,Ahmednagar,2020
13451.878,672.604,12779.275,11776.673,393.308,12169.985,95.232,,Ahmednagar,2020
8254.818,412.739,7842.079,8773.421,213.172,8986.599,114.595,,Ahmednagar,2020
14464.428,735.578,13728.85,12014.931,773.782,12788.702,93.152,,Ahmednagar,2020
9094.801,501.634,8593.168,6955.589,403.778,7359.393,85.642,,Ahmednagar,2020
12005.207,600.288,11404.919,8417.279,328.368,8745.625,76.683,,Ahmednagar,2020
8257.813,412.891,7844.921,6938.581,363.209,7301.778,93.076,,Ahmednagar,2020
4597.685,278.843,4318.842,2103.32,519.678,2622.998,60.734,,Akola,2020
4658.821,295.168,4363.653,2674.872,137.271,2812.155,64.445,,Akola,2020
4553.909,302.637,4251.272,2433.357,266.885,2700.235,63.516,,Akola,2020
5693.227,349.131,5344.095,3308.194,718.972,4027.17,75.357,,Akola,2020
5280.531,289.376,4991.154,3228.315,243.878,3472.181,69.567,,Akola,2020
5788.529,326.66,5461.869,3517.74,227.195,3744.938,68.565,,Akola,2020
7600.818,721.528,6879.289,4247.097,133.949,4381.049,63.685,,Akola,2020
3942.036,197.528,3744.508,1606.582,179.64,1786.239,47.703,,Amravati,2020
11484.631,1124.247,10360.384,15718.847,358.206,16077.054,155.178,,Amravati,2020
399.81,19.991,379.819,182.945,27.97,210.916,55.531,,Amravati,2020
6996.856,494.576,6502.281,8931.885,366.807,9298.705,143.007,,Amravati,2020
3228.765,241.338,2987.427,1798.974,132.413,1931.408,64.651,,Amravati,2020
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Amravati,2020
7751.463,387.902,7363.561,5362.656,616.108,5978.768,81.194,,Amravati,2020
8448.306,792.56,7655.746,7249.112,429.006,7678.122,100.292,,Amravati,2020
